"lower.age.limit" "population"
"1" 0 118052
"2" 1 115055
"3" 2 118878
"4" 3 120690
"5" 4 122417
"6" 5 125491
"7" 6 126839
"8" 7 130335
"9" 8 130928
"10" 9 134060
"11" 10 135605
"12" 11 137911
"13" 12 136915
"14" 13 137401
"15" 14 134645
"16" 15 133696
"17" 16 130564
"18" 17 129237
"19" 18 127392
"20" 19 127459
"21" 20 130442
"22" 21 134140
"23" 22 133726
"24" 23 135406
"25" 24 138707
"26" 25 140447
"27" 26 141239
"28" 27 142928
"29" 28 148090
"30" 29 152892
"31" 30 154934
"32" 31 154837
"33" 32 152694
"34" 33 152726
"35" 34 150060
"36" 35 149897
"37" 36 147210
"38" 37 148160
"39" 38 148294
"40" 39 151454
"41" 40 153007
"42" 41 154973
"43" 42 152222
"44" 43 150173
"45" 44 148300
"46" 45 146133
"47" 46 143804
"48" 47 147532
"49" 48 150367
"50" 49 154565
"51" 50 157380
"52" 51 158517
"53" 52 156412
"54" 53 155523
"55" 54 155275
"56" 55 158646
"57" 56 161387
"58" 57 165034
"59" 58 160993
"60" 59 156834
"61" 60 155345
"62" 61 152290
"63" 62 150968
"64" 63 145872
"65" 64 141287
"66" 65 136831
"67" 66 133282
"68" 67 128993
"69" 68 124338
"70" 69 121593
"71" 70 115039
"72" 71 114150
"73" 72 111724
"74" 73 110834
"75" 74 107478
"76" 75 105303
"77" 76 87083
"78" 77 84571
"79" 78 77784
"80" 79 66592
"81" 80 58509
"82" 81 62585
"83" 82 64887
"84" 83 62331
"85" 84 56502
"86" 85 51254
"87" 86 46428
"88" 87 43036
"89" 88 38092
"90" 89 34308
"91" 90 29655
"92" 91 24889
"93" 92 18945
"94" 93 14652
"95" 94 11280
"96" 95 8468
"97" 96 6298
"98" 97 4327
"99" 98 2859
"100" 99 1855
"101" 100 2561
